Survived,Pclass,Name,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare,Gender
0,3,Mr. Owen Harris Braund,male,22.0,1,0,7.25,1
1,1,Mrs. John Bradley (Florence Briggs Thayer) Cumings,female,38.0,1,0,71.2833,0
1,3,Miss. Laina Heikkinen,female,26.0,0,0,7.925,0
1,1,Mrs. Jacques Heath (Lily May Peel) Futrelle,female,35.0,1,0,53.1,0
0,3,Mr. William Henry Allen,male,35.0,0,0,8.05,1
0,3,Mr. James Moran,male,27.0,0,0,8.4583,1
0,1,Mr. Timothy J McCarthy,male,54.0,0,0,51.8625,1
0,3,Master. Gosta Leonard Palsson,male,2.0,3,1,21.075,1
1,3,Mrs. Oscar W (Elisabeth Vilhelmina Berg) Johnson,female,27.0,0,2,11.1333,0

